,airline,dep_time,from,time_taken,stop,arr_time,to,price,class
91,GO FIRST,07:20,Bangalore,08h 15m,1-stop,15:35,Mumbai,"5,177",0.0
92,Vistara,06:50,Hyderabad,16h 30m,1-stop,23:20,Bangalore,"6,776",0.0
93,GO FIRST,10:30,Mumbai,05h 30m,1-stop,16:00,Kolkata,"6,619",0.0
94,Vistara,07:10,Kolkata,10h 35m,2+-stop,17:45,Bangalore,"7,763",0.0
95,Air India,10:55,Delhi,20h 25m,2+-stop,07:20,Chennai,"22,377",0.0
96,Vistara,19:00,Bangalore,01h 45m,non-stop,20:45,Mumbai,"2,150",0.0
97,Air India,08:10,Delhi,26h 35m,1-stop,10:45,Bangalore,"4,030",0.0
98,Air India,20:50,Hyderabad,16h 00m,1-stop,12:50,Mumbai,"5,594",0.0
99,Air India,06:30,Hyderabad,13h 35m,1-stop,20:05,Bangalore,"6,734",0.0
100,Vistara,08:00,Bangalore,11h 35m,1-stop,19:35,Kolkata,"8,112",0.0
101,Vistara,11:40,Delhi,02h 20m,non-stop,14:00,Mumbai,"2,700",0.0
102,Air India,20:20,Chennai,19h 55m,1-stop,16:15,Bangalore,"5,888",0.0
103,Indigo,04:45,Chennai,07h 40m,1-stop,12:25,Mumbai,"1,830",0.0
104,Vistara,08:30,Hyderabad,09h 35m,1-stop,18:05,Kolkata,"9,501",0.0
105,Indigo,09:30,Hyderabad,07h 15m,1-stop,16:45,Kolkata,"4,390",0.0
106,Indigo,14:30,Chennai,05h 20m,1-stop,19:50,Mumbai,"3,349",0.0
107,Vistara,20:35,Kolkata,22h 40m,1-stop,19:15,Bangalore,"6,195",0.0
108,Air India,11:35,Kolkata,23h 20m,2+-stop,10:55,Chennai,"6,633",0.0
109,Vistara,09:30,Bangalore,08h 35m,1-stop,18:05,Delhi,"4,111",0.0
110,Vistara,17:50,Bangalore,27h 45m,1-stop,21:35,Mumbai,"15,583",0.0
111,Air India,06:10,Chennai,15h 25m,1-stop,21:35,Hyderabad,"6,825",0.0
112,Indigo,16:10,Kolkata,05h 20m,1-stop,21:30,Hyderabad,"12,737",0.0
113,Air India,08:00,Mumbai,11h 00m,1-stop,19:00,Chennai,"9,201",0.0
114,GO FIRST,11:10,Mumbai,09h 40m,1-stop,20:50,Delhi,"5,877",0.0
115,GO FIRST,08:15,Bangalore,15h 15m,1-stop,23:30,Mumbai,"5,177",0.0
116,Air India,16:00,Mumbai,02h 15m,non-stop,18:15,Delhi,"5,943",0.0
117,GO FIRST,12:30,Mumbai,09h 15m,1-stop,21:45,Kolkata,"5,817",0.0
118,GO FIRST,21:55,Bangalore,11h 00m,1-stop,08:55,Mumbai,"6,389",0.0
119,GO FIRST,13:20,Kolkata,11h 20m,1-stop,00:40,Delhi,"4,549",0.0
120,Vistara,08:30,Hyderabad,15h 40m,1-stop,00:10,Delhi,"5,656",0.0
121,Air India,07:05,Mumbai,14h 15m,1-stop,21:20,Chennai,"17,493",0.0
122,Air India,06:30,Hyderabad,13h 35m,1-stop,20:05,Bangalore,"13,168",0.0
123,Vistara,20:35,Kolkata,19h 05m,1-stop,15:40,Delhi,"9,353",0.0
124,Vistara,06:40,Bangalore,10h 15m,1-stop,16:55,Delhi,"4,111",0.0
125,Indigo,18:05,Bangalore,05h 50m,1-stop,23:55,Hyderabad,"1,694",0.0
126,Indigo,12:50,Kolkata,08h 20m,2+-stop,21:10,Delhi,"12,836",0.0
127,Air India,09:50,Delhi,02h 50m,non-stop,12:40,Chennai,"7,425",0.0
128,Indigo,04:30,Hyderabad,01h 20m,non-stop,05:50,Mumbai,"3,096",0.0
129,Indigo,12:55,Bangalore,07h 15m,1-stop,20:10,Delhi,"4,071",0.0
130,Air India,21:25,Delhi,17h 30m,1-stop,14:55,Bangalore,"4,041",0.0
131,Vistara,08:30,Hyderabad,24h 20m,1-stop,08:50,Chennai,"6,287",0.0
132,Air India,07:00,Kolkata,25h 55m,1-stop,08:55,Bangalore,"6,633",0.0
133,Air India,06:10,Mumbai,06h 45m,1-stop,12:55,Delhi,"5,798",0.0
134,Indigo,13:35,Bangalore,06h 05m,1-stop,19:40,Mumbai,"6,955",0.0
135,Air India,06:10,Chennai,28h 00m,1-stop,10:10,Mumbai,"4,357",0.0
136,Air India,20:15,Mumbai,14h 30m,1-stop,10:45,Bangalore,"8,148",0.0
137,Air India,06:05,Delhi,02h 50m,non-stop,08:55,Chennai,"2,343",0.0
138,Indigo,21:55,Bangalore,01h 15m,non-stop,23:10,Hyderabad,"1,714",0.0
139,Indigo,12:35,Kolkata,06h 20m,1-stop,18:55,Delhi,"6,489",0.0
140,Air India,19:20,Mumbai,19h 10m,2+-stop,14:30,Kolkata,"7,081",0.0
141,Indigo,09:00,Chennai,05h 50m,1-stop,14:50,Delhi,"7,877",0.0
142,Air India,06:05,Delhi,27h 50m,1-stop,09:55,Hyderabad,"3,551",0.0
143,Air India,20:50,Hyderabad,24h 30m,1-stop,21:20,Chennai,"29,128",0.0
144,Vistara,20:40,Delhi,11h 10m,1-stop,07:50,Hyderabad,"5,228",0.0
145,Vistara,19:00,Delhi,17h 15m,1-stop,12:15,Hyderabad,"6,172",0.0
146,Indigo,16:20,Mumbai,06h 30m,1-stop,22:50,Bangalore,"4,056",0.0
147,Vistara,20:35,Kolkata,13h 05m,1-stop,09:40,Delhi,"7,145",0.0
148,Vistara,12:10,Mumbai,07h 25m,2+-stop,19:35,Kolkata,"9,506",0.0
149,Vistara,06:00,Mumbai,13h 35m,1-stop,19:35,Kolkata,"16,128",0.0
150,Air India,11:20,Chennai,02h 35m,non-stop,13:55,Kolkata,"2,675",0.0
151,Vistara,17:35,Mumbai,15h 00m,1-stop,08:35,Kolkata,"13,608",0.0
152,Air India,21:00,Bangalore,12h 00m,1-stop,09:00,Kolkata,"7,109",0.0
153,Vistara,08:30,Hyderabad,11h 25m,1-stop,19:55,Chennai,"8,641",0.0
154,GO FIRST,10:25,Hyderabad,02h 20m,non-stop,12:45,Delhi,"2,276",0.0
155,Vistara,09:30,Delhi,02h 05m,non-stop,11:35,Mumbai,"5,955",0.0
156,GO FIRST,16:35,Delhi,15h 00m,1-stop,07:35,Kolkata,"5,954",0.0
157,GO FIRST,12:30,Kolkata,07h 40m,1-stop,20:10,Delhi,"13,386",0.0
158,Air India,06:20,Chennai,14h 55m,1-stop,21:15,Delhi,"11,448",0.0
159,Air India,10:55,Delhi,10h 10m,1-stop,21:05,Hyderabad,"10,155",0.0
160,Air India,06:20,Chennai,04h 50m,1-stop,11:10,Bangalore,"10,608",0.0
161,Vistara,09:30,Delhi,22h 20m,1-stop,07:50,Hyderabad,"5,772",0.0
162,Air India,21:00,Bangalore,22h 20m,1-stop,19:20,Hyderabad,"13,054",0.0
163,Vistara,17:35,Mumbai,05h 20m,1-stop,22:55,Hyderabad,"4,656",0.0
164,Vistara,22:45,Mumbai,09h 50m,1-stop,08:35,Kolkata,"11,129",0.0
165,Air India,11:50,Bangalore,24h 40m,1-stop,12:30,Kolkata,"4,578",0.0
166,GO FIRST,08:35,Kolkata,07h 50m,1-stop,16:25,Bangalore,"13,044",0.0
167,Indigo,12:55,Delhi,09h 10m,1-stop,22:05,Chennai,"3,266",0.0
168,GO FIRST,18:00,Mumbai,14h 40m,1-stop,08:40,Bangalore,"6,319",0.0
169,Air India,06:30,Hyderabad,29h 40m,1-stop,12:10,Kolkata,"8,909",0.0
170,Air India,17:00,Chennai,16h 00m,1-stop,09:00,Hyderabad,"3,979",0.0
171,Vistara,21:55,Mumbai,10h 45m,1-stop,08:40,Bangalore,"11,129",0.0
172,Air India,20:30,Kolkata,16h 20m,1-stop,12:50,Mumbai,"5,102",0.0
173,Vistara,17:35,Delhi,02h 50m,non-stop,20:25,Bangalore,"4,501",0.0
174,Air India,13:20,Bangalore,08h 15m,1-stop,21:35,Mumbai,"6,578",0.0
175,Indigo,13:05,Chennai,04h 45m,1-stop,17:50,Hyderabad,"2,862",0.0
176,GO FIRST,08:15,Bangalore,13h 55m,1-stop,22:10,Kolkata,"5,177",0.0
177,Air India,09:00,Bangalore,14h 05m,1-stop,23:05,Mumbai,"4,027",0.0
178,Vistara,09:45,Chennai,08h 20m,1-stop,18:05,Delhi,"5,206",0.0
179,Vistara,12:30,Chennai,23h 45m,1-stop,12:15,Hyderabad,"6,032",0.0
180,Air India,20:00,Delhi,12h 50m,1-stop,08:50,Kolkata,"13,410",0.0
181,Indigo,06:50,Kolkata,08h 15m,1-stop,15:05,Chennai,"4,555",0.0
182,Air India,07:00,Kolkata,09h 15m,1-stop,16:15,Bangalore,"7,054",0.0
183,Indigo,16:20,Mumbai,08h 05m,1-stop,00:25,Chennai,"3,734",0.0
184,Vistara,21:35,Hyderabad,01h 25m,non-stop,23:00,Mumbai,"3,646",0.0
185,Indigo,19:20,Bangalore,01h 05m,non-stop,20:25,Hyderabad,"1,714",0.0
186,Vistara,13:20,Delhi,26h 40m,1-stop,16:00,Mumbai,"12,885",0.0
187,GO FIRST,04:55,Kolkata,09h 40m,1-stop,14:35,Delhi,"6,488",0.0
188,Indigo,06:10,Delhi,06h 20m,1-stop,12:30,Chennai,"4,317",0.0
190,Air India,19:10,Bangalore,15h 45m,1-stop,10:55,Chennai,"3,720",0.0
191,Indigo,12:45,Hyderabad,06h 15m,1-stop,19:00,Chennai,"4,453",0.0
192,Air India,09:55,Chennai,09h 15m,2+-stop,19:10,Kolkata,"15,123",0.0
193,Vistara,18:30,Hyderabad,01h 00m,non-stop,19:30,Bangalore,"1,776",0.0
194,Vistara,16:05,Delhi,05h 45m,1-stop,21:50,Mumbai,"12,150",0.0
195,GO FIRST,09:00,Hyderabad,07h 10m,1-stop,16:10,Bangalore,"4,452",0.0
196,Air India,15:35,Mumbai,16h 25m,1-stop,08:00,Chennai,"5,800",0.0
197,GO FIRST,07:20,Bangalore,14h 25m,1-stop,21:45,Kolkata,"7,978",0.0
198,Vistara,11:30,Bangalore,05h 00m,1-stop,16:30,Delhi,"5,407",0.0
199,Indigo,07:20,Bangalore,04h 15m,1-stop,11:35,Mumbai,"5,635",0.0
200,GO FIRST,22:40,Kolkata,15h 00m,1-stop,13:40,Bangalore,"6,488",0.0
201,GO FIRST,09:00,Delhi,04h 55m,1-stop,13:55,Mumbai,"5,490",0.0
202,Air India,20:20,Chennai,12h 40m,1-stop,09:00,Kolkata,"6,989",0.0
203,Vistara,19:20,Mumbai,13h 30m,1-stop,08:50,Bangalore,"4,658",0.0
204,Indigo,10:45,Bangalore,07h 55m,1-stop,18:40,Kolkata,"8,360",0.0
205,Vistara,18:25,Bangalore,14h 25m,1-stop,08:50,Chennai,"4,672",0.0
206,Vistara,21:00,Mumbai,12h 40m,1-stop,09:40,Delhi,"6,122",0.0
207,Air India,07:05,Delhi,26h 35m,1-stop,09:40,Mumbai,"3,831",0.0
208,Vistara,07:05,Chennai,14h 55m,1-stop,22:00,Mumbai,"4,637",0.0
209,GO FIRST,07:20,Bangalore,15h 20m,1-stop,22:40,Hyderabad,"6,075",0.0
210,Air India,17:15,Kolkata,06h 30m,1-stop,23:45,Delhi,"16,569",0.0
211,Vistara,14:00,Mumbai,02h 50m,non-stop,16:50,Kolkata,"4,499",0.0
212,Vistara,11:30,Bangalore,08h 20m,1-stop,19:50,Delhi,"12,634",0.0
213,Vistara,18:30,Hyderabad,15h 10m,1-stop,09:40,Delhi,"5,823",0.0
214,GO FIRST,10:00,Kolkata,08h 15m,2+-stop,18:15,Delhi,"6,488",0.0
215,Vistara,12:55,Hyderabad,18h 55m,1-stop,07:50,Bangalore,"7,927",0.0
216,Indigo,13:35,Hyderabad,04h 00m,1-stop,17:35,Bangalore,"3,072",0.0
217,Air India,17:00,Chennai,16h 05m,1-stop,09:05,Mumbai,"4,672",0.0
218,Air India,19:00,Bangalore,12h 20m,2+-stop,07:20,Chennai,"5,473",0.0
219,Indigo,09:40,Delhi,10h 25m,1-stop,20:05,Chennai,"3,266",0.0
220,Indigo,23:10,Delhi,09h 40m,1-stop,08:50,Bangalore,"4,007",0.0
221,Indigo,15:55,Bangalore,06h 00m,1-stop,21:55,Mumbai,"3,012",0.0
222,Indigo,06:30,Mumbai,02h 35m,non-stop,09:05,Kolkata,"4,499",0.0
223,GO FIRST,15:30,Bangalore,07h 05m,1-stop,22:35,Delhi,"6,022",0.0
224,Vistara,12:55,Hyderabad,07h 00m,1-stop,19:55,Chennai,"6,287",0.0
225,Indigo,10:00,Chennai,08h 25m,1-stop,18:25,Kolkata,"6,869",0.0
226,Indigo,18:15,Bangalore,06h 05m,1-stop,00:20,Mumbai,"5,178",0.0
227,Air India,08:10,Mumbai,13h 35m,1-stop,21:45,Bangalore,"6,274",0.0
228,Air India,17:50,Bangalore,18h 05m,1-stop,11:55,Hyderabad,"5,780",0.0
229,Air India,20:50,Hyderabad,15h 50m,1-stop,12:40,Chennai,"4,649",0.0
230,Vistara,21:05,Chennai,12h 40m,1-stop,09:45,Mumbai,"12,408",0.0
232,Air India,06:10,Bangalore,11h 25m,1-stop,17:35,Kolkata,"8,527",0.0
233,Vistara,06:00,Mumbai,01h 50m,non-stop,07:50,Bangalore,"2,074",0.0
234,Vistara,08:45,Mumbai,02h 15m,non-stop,11:00,Delhi,"2,339",0.0
235,Air India,16:55,Delhi,19h 30m,1-stop,12:25,Mumbai,"5,702",0.0
236,Indigo,13:05,Kolkata,06h 40m,1-stop,19:45,Delhi,"5,282",0.0
237,Indigo,09:40,Delhi,02h 15m,non-stop,11:55,Hyderabad,"2,098",0.0
238,Vistara,12:25,Mumbai,10h 15m,1-stop,22:40,Bangalore,"11,129",0.0
239,GO FIRST,05:45,Kolkata,12h 15m,1-stop,18:00,Mumbai,"5,888",0.0
240,GO FIRST,10:00,Kolkata,14h 05m,1-stop,00:05,Hyderabad,"5,018",0.0
241,Vistara,07:10,Kolkata,12h 55m,1-stop,20:05,Mumbai,"17,619",0.0
242,Vistara,11:30,Bangalore,08h 45m,2+-stop,20:15,Chennai,"7,416",0.0
243,Indigo,20:50,Chennai,01h 10m,non-stop,22:00,Bangalore,"3,362",0.0
244,Vistara,20:35,Delhi,02h 20m,non-stop,22:55,Hyderabad,"2,022",0.0
245,Indigo,21:35,Hyderabad,01h 15m,non-stop,22:50,Bangalore,"4,453",0.0
246,Air India,11:20,Hyderabad,12h 15m,2+-stop,23:35,Chennai,"14,008",0.0
247,Air India,10:25,Kolkata,10h 50m,2+-stop,21:15,Mumbai,"12,054",0.0
248,Vistara,10:45,Chennai,10h 00m,2+-stop,20:45,Mumbai,"18,471",0.0
249,Indigo,09:35,Delhi,08h 30m,1-stop,18:05,Bangalore,"4,007",0.0
250,Indigo,08:00,Bangalore,01h 05m,non-stop,09:05,Chennai,"1,604",0.0
251,Indigo,05:20,Hyderabad,05h 35m,1-stop,10:55,Kolkata,"7,577",0.0
252,Air India,20:30,Kolkata,19h 45m,1-stop,16:15,Bangalore,"7,999",0.0
253,Indigo,03:05,Mumbai,02h 05m,non-stop,05:10,Delhi,"2,738",0.0
254,GO FIRST,21:55,Bangalore,11h 15m,1-stop,09:10,Mumbai,"6,389",0.0
255,Vistara,08:00,Bangalore,11h 05m,1-stop,19:05,Mumbai,"6,568",0.0
256,GO FIRST,06:30,Hyderabad,12h 35m,1-stop,19:05,Mumbai,"4,165",0.0
257,Air India,13:20,Bangalore,06h 00m,1-stop,19:20,Hyderabad,"6,620",0.0
258,Vistara,18:45,Kolkata,16h 50m,1-stop,11:35,Mumbai,"6,067",0.0
259,Vistara,12:30,Chennai,05h 35m,1-stop,18:05,Delhi,"11,448",0.0
260,Vistara,10:20,Delhi,12h 30m,1-stop,22:50,Bangalore,"4,496",0.0
261,Vistara,08:50,Delhi,11h 05m,1-stop,19:55,Chennai,"4,979",0.0
262,Vistara,19:50,Delhi,21h 00m,1-stop,16:50,Kolkata,"15,300",0.0
263,Indigo,21:15,Delhi,05h 15m,1-stop,02:30,Bangalore,"3,587",0.0
264,Air India,15:35,Mumbai,20h 55m,1-stop,12:30,Kolkata,"4,556",0.0
265,Indigo,06:15,Mumbai,05h 00m,1-stop,11:15,Chennai,"4,069",0.0
266,Vistara,17:40,Hyderabad,06h 10m,1-stop,23:50,Mumbai,"4,416",0.0
267,Indigo,14:50,Bangalore,07h 40m,1-stop,22:30,Hyderabad,"1,694",0.0
268,Vistara,20:25,Kolkata,26h 20m,1-stop,22:45,Chennai,"11,853",0.0
269,Indigo,12:55,Kolkata,08h 45m,1-stop,21:40,Hyderabad,"4,505",0.0
270,Vistara,20:40,Delhi,21h 05m,1-stop,17:45,Bangalore,"10,785",0.0
271,Indigo,12:45,Delhi,02h 55m,non-stop,15:40,Chennai,"6,939",0.0
272,Air India,16:15,Hyderabad,20h 25m,1-stop,12:40,Chennai,"4,229",0.0
273,Air India,07:00,Delhi,14h 35m,1-stop,21:35,Hyderabad,"4,209",0.0
274,Indigo,06:45,Mumbai,09h 25m,1-stop,16:10,Delhi,"5,939",0.0
275,Air India,09:30,Delhi,02h 45m,non-stop,12:15,Bangalore,"4,427",0.0
276,Indigo,14:25,Kolkata,08h 45m,1-stop,23:10,Hyderabad,"5,070",0.0
277,Vistara,13:25,Hyderabad,06h 50m,1-stop,20:15,Chennai,"4,359",0.0
278,Vistara,10:45,Chennai,11h 15m,1-stop,22:00,Mumbai,"11,028",0.0
279,Indigo,12:30,Hyderabad,05h 15m,1-stop,17:45,Mumbai,"15,058",0.0
280,Vistara,09:45,Bangalore,10h 10m,1-stop,19:55,Hyderabad,"11,383",0.0
281,Air India,05:55,Delhi,17h 30m,1-stop,23:25,Mumbai,"4,161",0.0
282,Indigo,05:00,Mumbai,07h 10m,1-stop,12:10,Kolkata,"12,029",0.0
283,GO FIRST,16:35,Delhi,08h 10m,1-stop,00:45,Chennai,"4,506",0.0
284,Vistara,07:55,Bangalore,14h 55m,1-stop,22:50,Delhi,"3,346",0.0
285,Vistara,07:00,Bangalore,10h 40m,1-stop,17:40,Mumbai,"11,205",0.0
286,Indigo,19:15,Hyderabad,06h 15m,1-stop,01:30,Kolkata,"7,690",0.0
287,Air India,10:25,Bangalore,11h 45m,1-stop,22:10,Mumbai,"6,158",0.0
288,Vistara,20:55,Mumbai,15h 40m,1-stop,12:35,Hyderabad,"3,971",0.0
289,Air India,10:25,Bangalore,11h 10m,1-stop,21:35,Mumbai,"6,578",0.0
290,Indigo,15:00,Delhi,08h 30m,1-stop,23:30,Bangalore,"7,761",0.0
291,Indigo,19:20,Bangalore,10h 45m,1-stop,06:05,Kolkata,"4,477",0.0
292,GO FIRST,15:45,Bangalore,03h 55m,1-stop,19:40,Mumbai,"4,236",0.0
293,Air India,18:20,Delhi,16h 25m,1-stop,10:45,Bangalore,"9,840",0.0
294,Vistara,10:25,Kolkata,25h 25m,1-stop,11:50,Chennai,"11,675",0.0
295,Indigo,22:50,Delhi,02h 55m,non-stop,01:45,Bangalore,"4,500",0.0
296,Vistara,09:45,Chennai,11h 10m,2+-stop,20:55,Hyderabad,"6,015",0.0
297,GO FIRST,09:00,Delhi,11h 20m,1-stop,20:20,Mumbai,"5,954",0.0
298,Vistara,18:45,Kolkata,28h 10m,1-stop,22:55,Hyderabad,"5,632",0.0
299,Indigo,13:55,Hyderabad,08h 15m,1-stop,22:10,Chennai,"5,220",0.0
300,Indigo,16:05,Hyderabad,03h 35m,1-stop,19:40,Mumbai,"15,373",0.0
